service_id,date,exception_type
222127OYLWD,20170804,1
222127OYLWD,20170805,2
222127OYLWD,20170806,2
222127OYLWD,20170807,1
222127OYLWD,20170808,1
222127OYLWD,20170809,1
222127OYLWD,20170810,1
222127OYLWD,20170811,1
222127OYLWD,20170812,2
222127OYLWD,20170813,2
222127OYLWD,20170814,1
222127OYLWD,20170815,1
222127OYLWD,20170816,1
222127OYLWD,20170817,1
222127OYLWD,20170818,1
222127OYLWD,20170819,2
222127OYLWD,20170820,2
222127OYLWD,20170821,1
222127OYLWD,20170822,1
222127OYLWD,20170823,1
222127OYLWD,20170824,1
222127OYLWD,20170825,1
222127OYLWD,20170826,2
222127OYLWD,20170827,2
222127OYLWD,20170828,1
222127OYLWD,20170829,1
222127OYLWD,20170830,1
222127OYLWD,20170831,1
222127OYLWD,20170901,1
222127OYLWD,20170902,2
222127OYLWD,20170903,2
222127OYLWD,20170904,1
222127OYLWD,20170905,1
222127OYLWD,20170906,1
222127OYLWD,20170907,1
222127OYLWD,20170908,1
222127OYLWD,20170909,2
222127OYLWD,20170910,2
222127OYLWD,20170911,1
222127OYLWD,20170912,1
222127OYLWD,20170913,1
222127OYLWD,20170914,1
222127OYLWD,20170915,1
222127OYLWD,20170916,2
222127OYLWD,20170917,2
222127OYLWD,20170918,1
222127OYLWD,20170919,1
222127OYLWD,20170920,1
222127OYLWD,20170921,1
222127OYLWD,20170922,1
222127OYLWD,20170923,2
222127OYLWD,20170924,2
222127OYLWD,20170925,1
222127OYLWD,20170926,1
222127OYLWD,20170927,1
222127OYLWD,20170928,1
222127OYLWD,20170929,1
222127OYLWD,20170930,2
222127OYLWD,20171001,2
222127OYLWD,20171002,1
222127OYLWD,20171003,1
222127OYLWD,20171004,1
222127OYLWD,20171005,1
222127OYLWD,20171006,1
222127OYLWD,20171007,2
222127OYLWD,20171008,2
222127OYLWD,20171009,1
222127OYLWD,20171010,1
222127OYLWD,20171011,1
222127OYLWD,20171012,1
222127OYLWD,20171013,1
222127OYLWD,20171014,2
222127OYLWD,20171015,2
222127OYLWD,20171016,1
222127OYLWD,20171017,1
222127OYLWD,20171018,1
222127OYLWD,20171019,1
222127OYLWD,20171020,1
222127OYLWD,20171021,2
222127OYLWD,20171022,2
222127OYLWD,20171023,1
222127OYLWD,20171024,1
222127OYLWD,20171025,1
222127OYLWD,20171026,1
222127OYLWD,20171027,1
222127OYLWD,20171028,2
222127OYLWD,20171029,2
222127OYLWD,20171030,1
222127OYLWD,20171031,1
222127OYLWD,20171101,1
222127OYLWE,20170804,2
222127OYLWE,20170805,1
222127OYLWE,20170806,1
222127OYLWE,20170807,2
222127OYLWE,20170808,2
222127OYLWE,20170809,2
222127OYLWE,20170810,2
222127OYLWE,20170811,2
222127OYLWE,20170812,1
222127OYLWE,20170813,1
222127OYLWE,20170814,2
222127OYLWE,20170815,2
222127OYLWE,20170816,2
222127OYLWE,20170817,2
222127OYLWE,20170818,2
222127OYLWE,20170819,1
222127OYLWE,20170820,1
222127OYLWE,20170821,2
222127OYLWE,20170822,2
222127OYLWE,20170823,2
222127OYLWE,20170824,2
222127OYLWE,20170825,2
222127OYLWE,20170826,1
222127OYLWE,20170827,1
222127OYLWE,20170828,2
222127OYLWE,20170829,2
222127OYLWE,20170830,2
222127OYLWE,20170831,2
222127OYLWE,20170901,2
222127OYLWE,20170902,1
222127OYLWE,20170903,1
222127OYLWE,20170904,2
222127OYLWE,20170905,2
222127OYLWE,20170906,2
222127OYLWE,20170907,2
222127OYLWE,20170908,2
222127OYLWE,20170909,1
222127OYLWE,20170910,1
222127OYLWE,20170911,2
222127OYLWE,20170912,2
222127OYLWE,20170913,2
222127OYLWE,20170914,2
222127OYLWE,20170915,2
222127OYLWE,20170916,1
222127OYLWE,20170917,1
222127OYLWE,20170918,2
222127OYLWE,20170919,2
222127OYLWE,20170920,2
222127OYLWE,20170921,2
222127OYLWE,20170922,2
222127OYLWE,20170923,1
222127OYLWE,20170924,1
222127OYLWE,20170925,2
222127OYLWE,20170926,2
222127OYLWE,20170927,2
222127OYLWE,20170928,2
222127OYLWE,20170929,2
222127OYLWE,20170930,1
222127OYLWE,20171001,1
222127OYLWE,20171002,2
222127OYLWE,20171003,2
222127OYLWE,20171004,2
222127OYLWE,20171005,2
222127OYLWE,20171006,2
222127OYLWE,20171007,1
222127OYLWE,20171008,1
222127OYLWE,20171009,2
222127OYLWE,20171010,2
222127OYLWE,20171011,2
222127OYLWE,20171012,2
222127OYLWE,20171013,2
222127OYLWE,20171014,1
222127OYLWE,20171015,1
222127OYLWE,20171016,2
222127OYLWE,20171017,2
222127OYLWE,20171018,2
222127OYLWE,20171019,2
222127OYLWE,20171020,2
222127OYLWE,20171021,1
222127OYLWE,20171022,1
222127OYLWE,20171023,2
222127OYLWE,20171024,2
222127OYLWE,20171025,2
222127OYLWE,20171026,2
222127OYLWE,20171027,2
222127OYLWE,20171028,1
222127OYLWE,20171029,1
222127OYLWE,20171030,2
222127OYLWE,20171031,2
222127OYLWE,20171101,2
222127OWCWD,20170804,1
222127OWCWD,20170805,2
222127OWCWD,20170806,2
222127OWCWD,20170807,1
222127OWCWD,20170808,1
222127OWCWD,20170809,1
222127OWCWD,20170810,1
222127OWCWD,20170811,1
222127OWCWD,20170812,2
222127OWCWD,20170813,2
222127OWCWD,20170814,1
222127OWCWD,20170815,1
222127OWCWD,20170816,1
222127OWCWD,20170817,1
222127OWCWD,20170818,1
222127OWCWD,20170819,2
222127OWCWD,20170820,2
222127OWCWD,20170821,1
222127OWCWD,20170822,1
222127OWCWD,20170823,1
222127OWCWD,20170824,1
222127OWCWD,20170825,1
222127OWCWD,20170826,2
222127OWCWD,20170827,2
222127OWCWD,20170828,1
222127OWCWD,20170829,1
222127OWCWD,20170830,1
222127OWCWD,20170831,1
222127OWCWD,20170901,1
222127OWCWD,20170902,2
222127OWCWD,20170903,2
222127OWCWD,20170904,1
222127OWCWD,20170905,1
222127OWCWD,20170906,1
222127OWCWD,20170907,1
222127OWCWD,20170908,1
222127OWCWD,20170909,2
222127OWCWD,20170910,2
222127OWCWD,20170911,1
222127OWCWD,20170912,1
222127OWCWD,20170913,1
222127OWCWD,20170914,1
222127OWCWD,20170915,1
222127OWCWD,20170916,2
222127OWCWD,20170917,2
222127OWCWD,20170918,1
222127OWCWD,20170919,1
222127OWCWD,20170920,1
222127OWCWD,20170921,1
222127OWCWD,20170922,1
222127OWCWD,20170923,2
222127OWCWD,20170924,2
222127OWCWD,20170925,1
222127OWCWD,20170926,1
222127OWCWD,20170927,1
222127OWCWD,20170928,1
222127OWCWD,20170929,1
222127OWCWD,20170930,2
222127OWCWD,20171001,2
222127OWCWD,20171002,1
222127OWCWD,20171003,1
222127OWCWD,20171004,1
222127OWCWD,20171005,1
222127OWCWD,20171006,1
222127OWCWD,20171007,2
222127OWCWD,20171008,2
222127OWCWD,20171009,1
222127OWCWD,20171010,1
222127OWCWD,20171011,1
222127OWCWD,20171012,1
222127OWCWD,20171013,1
222127OWCWD,20171014,2
222127OWCWD,20171015,2
222127OWCWD,20171016,1
222127OWCWD,20171017,1
222127OWCWD,20171018,1
222127OWCWD,20171019,1
222127OWCWD,20171020,1
222127OWCWD,20171021,2
222127OWCWD,20171022,2
222127OWCWD,20171023,1
222127OWCWD,20171024,1
222127OWCWD,20171025,1
222127OWCWD,20171026,1
222127OWCWD,20171027,1
222127OWCWD,20171028,2
222127OWCWD,20171029,2
222127OWCWD,20171030,1
222127OWCWD,20171031,1
222127OWCWD,20171101,1
222127F8CWD,20170804,1
222127F8CWD,20170805,1
222127F8CWD,20170806,2
222127F8CWD,20170807,1
222127F8CWD,20170808,1
222127F8CWD,20170809,1
222127F8CWD,20170810,1
222127F8CWD,20170811,1
222127F8CWD,20170812,1
222127F8CWD,20170813,2
222127F8CWD,20170814,2
222127F8CWD,20170815,2
222127F8CWD,20170816,1
222127F8CWD,20170817,1
222127F8CWD,20170818,1
222127F8CWD,20170819,1
222127F8CWD,20170820,2
222127F8CWD,20170821,1
222127F8CWD,20170822,1
222127F8CWD,20170823,1
222127F8CWD,20170824,1
222127F8CWD,20170825,1
222127F8CWD,20170826,1
222127F8CWD,20170827,2
222127F8CWD,20170828,1
222127F8CWD,20170829,1
222127F8CWD,20170830,1
222127F8CWD,20170831,1
222127F8CWD,20170901,1
222127F8CWD,20170902,1
222127F8CWD,20170903,2
222127F8CWD,20170904,1
222127F8CWD,20170905,1
