stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding
n1419_0,下江留中,焼津市,34.807533,138.279622,,0,n1419,1
n1384_1,虚空蔵尊入口,焼津市,34.87904,138.329048,,0,n1384,1
n1431,小杉浜,焼津市,34.812377,138.322375,,1,,0
n31655,上小杉,焼津市,34.817163,138.282616,,1,,0
n1373,小柳津,焼津市,34.853619,138.283628,,1,,0
n1425_1,宮島,焼津市,34.790143,138.303748,,0,n1425,1
n1406_0,西島,焼津市,34.79766,138.267934,,0,n1406,1
n1388_1,日本坂PA,焼津市,34.889426,138.321944,,0,n1388,1
n1381_1,焼津一丁目,焼津市,34.8677632,138.3142589,,0,n1381,0
n1416,西小入口,焼津市,34.816671,138.26543,,1,,0
n1394,坂本南,焼津市,34.886074,138.308776,,1,,0
n31695_1,アクアスやいづ入口,焼津市,34.857232,138.324573,,0,n31695,0
n1412_1,上泉上,焼津市,34.81957,138.2531,,0,n1412,1
n1376_0,五ケ堀之内南,焼津市,34.859251,138.296883,,0,n1376,0
n1384_0,虚空蔵尊入口,焼津市,34.879093,138.328973,,0,n1384,1
n1387_0,東益津小学校前,焼津市,34.886986,138.321425,,0,n1387,1
n1379_1,文化センター前,焼津市,34.864276,138.30664,,0,n1379,0
n1377_0,三ケ名西,焼津市,34.859416,138.299673,,0,n1377,1
n1385_0,岡当目,焼津市,34.882032,138.32313,,0,n1385,1
n1357_1,保健センター,焼津市,34.858951,138.315621,,0,n1357,1
n31680,石津西公園前,焼津市,34.84301,138.313303,,1,,1
n1358,西小川一丁目,焼津市,34.860498,138.309933,,1,,0
n1427,平松,焼津市,34.796974,138.309891,,1,,0
n3207,飯淵,焼津市,34.787729,138.281726,,1,,0
n1443_0,中川原,焼津市,34.806686,138.286811,,0,n1443,1
n1421_1,利右衛門,焼津市,34.789065,138.287687,,0,n1421,1
n1404_1,中島,焼津市,34.793735,138.27494,,0,n1404,0
n1369_0,中新田配水場,焼津市,34.834996,138.285398,,0,n1369,0
n1362_1,三右衛門新田,焼津市,34.8484,138.299556,,0,n1362,1
n31700,城之腰,焼津市,34.861861,138.324504,,1,,0
n3281,西焼津駅南口,焼津市,34.859568,138.285764,,1,,0
n1370,中新田,焼津市,34.841254,138.28517,,1,,0
n1422_1,臨港工業団地前,焼津市,34.78577,138.292535,,0,n1422,0
n1372_0,大住北,焼津市,34.849678,138.283845,,0,n1372,1
n1419,下江留中,焼津市,34.807347,138.279793,,1,,0
n1365_1,道原,焼津市,34.836193,138.301968,,0,n1365,0
n1424,六軒屋,焼津市,34.786251,138.300546,,1,,0
n1417,上新田西,焼津市,34.812777,138.271376,,1,,0
n1410,寺島,焼津市,34.809923,138.25964,,1,,0
n1401,駅北三丁目,焼津市,34.87364,138.31479,,1,,0
n1393,坂本,焼津市,34.889852,138.310004,,1,,0
n1403_1,中学校前,焼津市,34.801435,138.281103,,0,n1403,1
n1415_01,東名入口,焼津市,34.820467,138.267172,,0,n1415,1
n31660_0,大島中央公園,焼津市,34.82192,138.289482,,0,n31660,0
n31665_1,大島下,焼津市,34.819991,138.295662,,0,n31665,0
n1374_1,柳新屋,焼津市,34.856446,138.283383,,0,n1374,1
n31670,大島萩の森,焼津市,34.820713,138.301729,,1,,1
n1366,河原中,焼津市,34.830523,138.292595,,1,,0
n1411,上泉,焼津市,34.81418,138.25596,,1,,0
n1390,石脇上,焼津市,34.891987,138.32003,,1,,0
n1434_0,一色上,焼津市,34.828363,138.310731,,0,n1434,0
n1423_1,港湾会館前,焼津市,34.780017,138.297161,,0,n1423,1
n3263_4,焼津市立病院前（４番のりば）,焼津市,34.8375404,138.306822,,0,n3263,1
n1390_1,石脇上,焼津市,34.89201,138.319966,,0,n1390,0
n1380_1,西小学校前,焼津市,34.8656955,138.3111016,,0,n1380,1
n1358_1,西小川一丁目,焼津市,34.860143,138.310702,,0,n1358,1
n1423,港湾会館前,焼津市,34.779832,138.297174,,1,,0
n1420,不動山入口,焼津市,34.789771,138.279113,,1,,0
n1442_0,大井川福祉センター,焼津市,34.8034,138.290175,,0,n1442,1
n31685_1,小川港南,焼津市,34.84369,138.325805,,0,n31685,0
n1433_1,木の子橋北,焼津市,34.8242164,138.3112143,,0,n1433,0
n1432_1,一色浜,焼津市,34.815027,138.324853,,0,n1432,1
n1406_1,西島,焼津市,34.797678,138.268084,,0,n1406,1
n3272_1,大富小学校前,焼津市,34.834463,138.295854,,0,n3272,0
n1409,相川上,焼津市,34.806855,138.256713,,1,,0
n1437_0,藤守,焼津市,34.807139,138.30651,,0,n1437,1
n31655_0,上小杉,焼津市,34.817163,138.282616,,0,n31655,0
n3273_1,大富,焼津市,34.8370838,138.2973424,,0,n3273,1
n1376,五ヶ堀之内南,焼津市,34.859225,138.29697,,1,,0
n1430_0,藤守防災センター前,焼津市,34.80756,138.3179,,0,n1430,1
n3263_6,焼津市立病院前（６番のりば）,焼津市,34.8375408,138.3067214,,0,n3263,1
n1352_0,市役所前,焼津市,34.865817,138.323223,,0,n1352,1
n1393_0,坂本,焼津市,34.890432,138.310247,,0,n1393,0
n1376_1,五ケ堀之内南,焼津市,34.859194,138.29691,,0,n1376,0
n1353,北浜通,焼津市,34.863091,138.324162,,1,,0
n30355_0,上島,焼津市,34.791833,138.291668,,0,n30355,0
n31705_0,市役所北,焼津市,34.86761,138.323652,,0,n31705,1
n1363_0,祢宜島配水場,焼津市,34.842417,138.303131,,0,n1363,1
n1382,サンライフ焼津,焼津市,34.874554,138.325089,,1,,0
n1440,高新田,焼津市,34.798061,138.297964,,1,,0
n1355,アクアスやいづ,焼津市,34.856961,138.325495,,1,,0
n1395_0,高草橋,焼津市,34.883403,138.306318,,0,n1395,0
n3311_0,水産加工センター,焼津市,34.817453,138.321935,,0,n3311,1
n1409_0,相川上,焼津市,34.806897,138.256706,,0,n1409,0
n1411_0,上泉,焼津市,34.81418,138.25596,,0,n1411,1
n1413_0,上新田北,焼津市,34.823937,138.25736,,0,n1413,1
n3201_1,吉永辻,焼津市,34.796704,138.295952,,0,n3201,1
n1360_0,西小川四丁目,焼津市,34.854344,138.304715,,0,n1360,1
n1420_0,不動山入口,焼津市,34.789766,138.279069,,0,n1420,1
n31660,大島中央公園,焼津市,34.82192,138.289482,,1,,0
n1386,中里東,焼津市,34.883733,138.320883,,1,,0
n1360,西小川四丁目,焼津市,34.854491,138.304761,,1,,0
n1429_0,大井川寮・睦園前,焼津市,34.802366,138.312328,,0,n1429,1
n1438_1,平松口,焼津市,34.80443,138.303205,,0,n1438,0
n1370_0,中新田,焼津市,34.841414,138.2851,,0,n1370,1
n1386_0,中里東,焼津市,34.883835,138.320846,,0,n1386,1
n1352_1,市役所前,焼津市,34.865755,138.323137,,0,n1352,1
n1369,中新田配水場,焼津市,34.835293,138.285392,,1,,0
n1364_0,祢宜島,焼津市,34.840738,138.308054,,0,n1364,1
n1418_1,グランリバー前,焼津市,34.80977,138.2763,,0,n1418,0
n1436_0,天満宮前（焼津方面行き）,焼津市,34.8121716,138.3139366,,0,n1436,1
n31675_0,三和ちびっこ広場前,焼津市,34.824254,138.301756,,0,n31675,0
n1392_1,林叟院入口,焼津市,34.892269,138.31154,,0,n1392,1
n1351_1,中港,焼津市,34.87136,138.322404,,0,n1351,1
n3281_0,西焼津駅南口,焼津市,34.859575,138.28556,,0,n3281,1
n1396_0,総合福祉会館,焼津市,34.876043,138.304561,,0,n1396,1
n1432,一色浜,焼津市,34.815063,138.324508,,1,,0
n1406,西島,焼津市,34.797467,138.267766,,1,,0
n1352,市役所前,焼津市,34.865668,138.323261,,1,,0
n31700_0,城之腰,焼津市,34.861861,138.324504,,0,n31700,0
n1429_1,大井川寮・睦園前,焼津市,34.802431,138.312199,,0,n1429,1
n31670_0,大島萩の森,焼津市,34.820713,138.301729,,0,n31670,1
n1435_1,下小杉,焼津市,34.8151401,138.3151999,,0,n1435,0
n1443_1,中川原,焼津市,34.8069767,138.286865,,0,n1443,1
n1356_0,田子乃橋,焼津市,34.857748,138.322337,,0,n1356,1
n1424_0,六軒屋,焼津市,34.786646,138.301004,,0,n1424,1
n1591_0,つつじ平団地,焼津市,34.81619,138.249507,,0,n1591,1
n31670_1,大島萩の森,焼津市,34.820863,138.301826,,0,n31670,1
n1439_1,鶴巻団地,焼津市,34.801444,138.30137,,0,n1439,1
n1383_1,当目大橋,焼津市,34.87757,138.327382,,0,n1383,0
n1433,木の子橋北,焼津市,34.82307,138.31124,,1,,0
n1363_1,祢宜島配水場,焼津市,34.842267,138.302836,,0,n1363,1
n1359_1,竪小路団地,焼津市,34.857882,138.307268,,0,n1359,1
n1414,上新田中,焼津市,34.822164,138.262359,,1,,0
n1383,当目大橋,焼津市,34.87801,138.327709,,1,,0
n1423_0,港湾会館前,焼津市,34.779951,138.297412,,0,n1423,1
n31705_1,市役所北,焼津市,34.867669,138.323781,,0,n31705,1
n1407_0,富士見橋,焼津市,34.80185,138.262086,,0,n1407,1
n1440_1,高新田,焼津市,34.798206,138.298152,,0,n1440,0
n1390_0,石脇上,焼津市,34.891957,138.32003,,0,n1390,0
n1429,大井川寮・睦園前,焼津市,34.802287,138.312087,,1,,0
n30365_0,東島,焼津市,34.788811,138.28499,,0,n30365,0
n1386_1,中里東,焼津市,34.883844,138.320932,,0,n1386,1
n1372_1,大住北,焼津市,34.849674,138.283958,,0,n1372,1
n1370_1,中新田,焼津市,34.84133,138.285207,,0,n1370,1
n1437,藤守,焼津市,34.807252,138.306515,,1,,0
n1374,柳新屋,焼津市,34.856711,138.283322,,1,,0
n1426,高新田防災センター前,焼津市,34.794151,138.307316,,1,,0
n1379,文化センター前,焼津市,34.864279,138.30639,,1,,0
n1354,横町,焼津市,34.86068,138.323842,,1,,0
n1421_0,利右衛門,焼津市,34.788865,138.287436,,0,n1421,1
n31690_1,信香院,焼津市,34.849365,138.323795,,0,n31690,0
n1428_1,高新田平,焼津市,34.799813,138.312246,,0,n1428,1
n1414_11,上新田中,焼津市,34.822149,138.262714,,0,n1414,1
n1394_1,坂本南,焼津市,34.885898,138.308575,,0,n1394,1
n1369_1,中新田配水場,焼津市,34.83493,138.285489,,0,n1369,1
n31695,アクアスやいづ入口,焼津市,34.857169,138.324348,,1,,0
n31690,信香院,焼津市,34.849102,138.32367,,1,,0
n1418_0,グランリバー前,焼津市,34.8096655,138.2762712,,0,n1418,0
n1416_0,西小入口,焼津市,34.816604,138.265584,,0,n1416,1
n31675_1,三和ちびっこ広場前,焼津市,34.824439,138.301842,,0,n31675,0
n1382_0,サンライフ焼津,焼津市,34.873961,138.324501,,0,n1382,1
n1397_0,大村公民館,焼津市,34.874373,138.300813,,0,n1397,1
n1401_0,駅北三丁目,焼津市,34.873548,138.315007,,0,n1401,0
n1381,焼津一丁目,焼津市,34.867695,138.313957,,1,,0
n31700_1,城之腰,焼津市,34.861974,138.324806,,0,n31700,0
n1387_1,東益津小学校前,焼津市,34.887004,138.321511,,0,n1387,1
n1359,竪小路団地,焼津市,34.857775,138.307229,,1,,0
n1357_0,保健センター,焼津市,34.858845,138.315583,,0,n1357,1
n1375_0,柳新屋東,焼津市,34.858816,138.290249,,0,n1375,0
n1382_1,サンライフ焼津,焼津市,34.874278,138.324887,,0,n1382,1
n1392,林叟院入口,焼津市,34.892241,138.311597,,1,,0
n1395,高草橋,焼津市,34.88347,138.306287,,1,,0
n1432_0,一色浜,焼津市,34.815088,138.324761,,0,n1432,0
n30365_1,東島,焼津市,34.788898,138.284767,,0,n30365,0
n31665_0,大島下,焼津市,34.820106,138.29563,,0,n31665,0
n31660_1,大島中央公園,焼津市,34.821832,138.28945,,0,n31660,0
n1421,利右衛門,焼津市,34.789052,138.287412,,1,,0
n1439,鶴巻団地,焼津市,34.801083,138.301161,,1,,0
n3272_0,大富小学校前,焼津市,34.834318,138.295854,,0,n3272,1
n1366_0,河原中,焼津市,34.830471,138.292602,,0,n1366,0
n1368_0,中根新田,焼津市,34.830191,138.286803,,0,n1368,1
n1391_0,坂本団地,焼津市,34.890976,138.314748,,0,n1391,0
n3281_1,西焼津駅南口,焼津市,34.85955,138.28556,,0,n3281,1
n3263_5,焼津市立病院前（５番のりば）,焼津市,34.837541,138.306776,,0,n3263,1
n1413_1,上新田北,焼津市,34.824113,138.257253,,0,n1413,1
n1351_0,中港,焼津市,34.871474,138.322372,,0,n1351,1
n1361,泓の川,焼津市,34.854196,138.300477,,1,,0
n1365_0,道原,焼津市,34.836153,138.301845,,0,n1365,0
n1380,西小学校前,焼津市,34.865653,138.31091,,1,,0
n1425_0,宮島,焼津市,34.790055,138.303967,,0,n1425,1
n3311_1,水産加工センター,焼津市,34.817485,138.321944,,0,n3311,1
n1405_0,大井川体育館,焼津市,34.796114,138.271818,,0,n1405,1
n1441_1,上田中,焼津市,34.80025,138.292127,,0,n1441,1
n1409_1,相川上,焼津市,34.806871,138.256599,,0,n1409,1
n1407_1,富士見橋,焼津市,34.801832,138.261861,,0,n1407,1
n1402_0,大井川庁舎,焼津市,34.804012,138.284413,,0,n1402,1
n1419_1,下江留中,焼津市,34.80774,138.27945,,0,n1419,1
n1389_0,高草山石脇入口,焼津市,34.891677,138.322286,,0,n1389,0
