trip_id,arrival_time,departure_time,stop_id,stop_sequence
222127F8CSWD05,10:11:00,10:11:00,n3221_1,1
222127F8CSWD05,10:14:00,10:14:00,n1401_1,2
222127F8CSWD05,10:16:00,10:16:00,n1400_1,3
222127F8CSWD05,10:19:00,10:19:00,n1396_0,4
222127F8CSWD05,10:21:00,10:21:00,n1397_0,5
222127F8CSWD05,10:22:00,10:22:00,n1398_0,6
222127F8CSWD05,10:23:00,10:23:00,n1399_1,7
222127F8CSWD05,10:25:00,10:25:00,n1395_1,8
222127F8CSWD05,10:26:00,10:26:00,n1394_1,9
222127F8CSWD05,10:27:00,10:27:00,n1393_1,10
222127F8CSWD05,10:28:00,10:28:00,n1392_1,11
222127F8CSWD05,10:29:00,10:29:00,n1391_1,12
222127F8CSWD05,10:31:00,10:31:00,n1390_1,13
222127F8CSWD05,10:33:00,10:33:00,n1389_1,14
222127F8CSWD05,10:34:00,10:34:00,n1388_1,15
222127F8CSWD05,10:35:00,10:35:00,n1387_1,16
222127F8CSWD05,10:36:00,10:36:00,n1386_1,17
222127F8CSWD05,10:38:00,10:38:00,n1385_1,18
222127F8CSWD05,10:40:00,10:40:00,n1384_1,19
222127F8CSWD05,10:41:00,10:41:00,n1383_1,20
222127F8CSWD05,10:43:00,10:43:00,n1382_1,21
222127F8CSWD05,10:44:00,10:44:00,n1351_1,22
222127F8CSWD05,10:50:00,10:50:00,n3221_4,23
222127F8CSWD05,10:53:00,10:53:00,n1381_1,24
222127F8CSWD05,10:54:00,10:54:00,n1380_1,25
222127F8CSWD05,10:56:00,10:56:00,n1379_1,26
222127F8CSWD05,10:58:00,10:58:00,n1378_1,27
222127F8CSWD05,10:59:00,10:59:00,n1377_1,28
222127F8CSWD05,11:00:00,11:00:00,n1376_1,29
222127F8CSWD05,11:02:00,11:02:00,n1375_1,30
222127F8CSWD05,11:04:00,11:04:00,n3281_1,31
222127F8CSWD05,11:05:00,11:05:00,n1374_1,32
222127F8CSWD05,11:06:00,11:06:00,n1373_1,33
222127F8CSWD05,11:08:00,11:08:00,n1372_1,34
222127F8CSWD05,11:09:00,11:09:00,n1371_1,35
222127F8CSWD05,11:11:00,11:11:00,n1370_1,36
222127F8CSWD05,11:13:00,11:13:00,n1369_1,37
222127F8CSWD05,11:14:00,11:14:00,n1368_1,38
222127F8CSWD05,11:15:00,11:15:00,n1367_1,39
222127F8CSWD05,11:16:00,11:16:00,n1366_1,40
222127F8CSWD05,11:18:00,11:18:00,n3272_1,41
222127F8CSWD05,11:19:00,11:19:00,n3273_1,42
222127F8CSWD05,11:21:00,11:21:00,n1365_1,43
222127F8CSWD05,11:28:00,11:28:00,n3263_4,44
222127F8CSWD05,11:31:00,11:31:00,n1364_1,45
222127F8CSWD05,11:33:00,11:33:00,n1363_1,46
222127F8CSWD05,11:35:00,11:35:00,n1362_1,47
222127F8CSWD05,11:37:00,11:37:00,n1361_1,48
222127F8CSWD05,11:38:00,11:38:00,n1360_1,49
222127F8CSWD05,11:39:00,11:39:00,n1359_1,50
222127F8CSWD05,11:41:00,11:41:00,n1358_1,51
222127F8CSWD05,11:44:00,11:44:00,n1357_1,52
222127F8CSWD05,11:46:00,11:46:00,n1356_1,53
222127F8CSWD05,11:49:00,11:49:00,n1355_0,54
222127F8CSWD05,11:52:00,11:52:00,n1354_1,55
222127F8CSWD05,11:53:00,11:53:00,n1353_1,56
222127F8CSWD05,11:54:00,11:54:00,n1352_1,57
222127F8CSWD05,11:56:00,11:56:00,n1351_1,58
222127F8CSWD05,11:59:00,11:59:00,n3221_1,59
222127F8CYWE01,08:30:00,08:30:00,n3221_1,1
222127F8CYWE01,08:31:00,08:31:00,n1351_0,2
222127F8CYWE01,08:34:00,08:34:00,n1352_0,3
222127F8CYWE01,08:35:00,08:35:00,n1353_0,4
222127F8CYWE01,08:36:00,08:36:00,n1354_0,5
222127F8CYWE01,08:39:00,08:39:00,n1355_0,6
222127F8CYWE01,08:42:00,08:42:00,n1356_0,7
222127F8CYWE01,08:44:00,08:44:00,n1357_0,8
222127F8CYWE01,08:46:00,08:46:00,n1358_0,9
222127F8CYWE01,08:48:00,08:48:00,n1359_0,10
222127F8CYWE01,08:49:00,08:49:00,n1360_0,11
222127F8CYWE01,08:50:00,08:50:00,n1361_0,12
222127F8CYWE01,08:52:00,08:52:00,n1362_0,13
222127F8CYWE01,08:54:00,08:54:00,n1363_0,14
222127F8CYWE01,08:56:00,08:56:00,n1364_0,15
222127F8CYWE01,09:01:00,09:01:00,n3263_4,16
222127F8CYWE01,09:04:00,09:04:00,n1365_0,17
222127F8CYWE01,09:06:00,09:06:00,n3273_0,18
222127F8CYWE01,09:08:00,09:08:00,n3272_0,19
222127F8CYWE01,09:10:00,09:10:00,n1366_0,20
222127F8CYWE01,09:12:00,09:12:00,n1367_0,21
222127F8CYWE01,09:14:00,09:14:00,n1368_0,22
222127F8CYWE01,09:16:00,09:16:00,n1369_0,23
222127F8CYWE01,09:17:00,09:17:00,n1370_0,24
222127F8CYWE01,09:19:00,09:19:00,n1371_0,25
222127F8CYWE01,09:20:00,09:20:00,n1372_0,26
222127F8CYWE01,09:21:00,09:21:00,n1373_0,27
222127F8CYWE01,09:22:00,09:22:00,n1374_0,28
222127F8CYWE01,09:23:00,09:23:00,n3281_0,29
222127F8CYWE01,09:25:00,09:25:00,n1375_0,30
222127F8CYWE01,09:27:00,09:27:00,n1376_0,31
222127F8CYWE01,09:29:00,09:29:00,n1377_0,32
222127F8CYWE01,09:31:00,09:31:00,n1378_0,33
222127F8CYWE01,09:33:00,09:33:00,n1379_0,34
222127F8CYWE01,09:35:00,09:35:00,n1380_0,35
222127F8CYWE01,09:37:00,09:37:00,n1381_0,36
222127F8CYWE01,09:43:00,09:43:00,n3221_4,37
222127F8CYWE01,09:44:00,09:44:00,n1351_0,38
222127F8CYWE01,09:45:00,09:45:00,n1382_0,39
222127F8CYWE01,09:47:00,09:47:00,n1383_0,40
222127F8CYWE01,09:48:00,09:48:00,n1384_0,41
222127F8CYWE01,09:50:00,09:50:00,n1385_0,42
222127F8CYWE01,09:52:00,09:52:00,n1386_0,43
222127F8CYWE01,09:53:00,09:53:00,n1387_0,44
222127F8CYWE01,09:54:00,09:54:00,n1388_0,45
222127F8CYWE01,09:55:00,09:55:00,n1389_0,46
222127F8CYWE01,09:56:00,09:56:00,n1390_0,47
222127F8CYWE01,09:58:00,09:58:00,n1391_0,48
222127F8CYWE01,09:59:00,09:59:00,n1392_0,49
222127F8CYWE01,10:00:00,10:00:00,n1393_0,50
222127F8CYWE01,10:02:00,10:02:00,n1394_0,51
222127F8CYWE01,10:03:00,10:03:00,n1395_0,52
222127F8CYWE01,10:05:00,10:05:00,n1399_0,53
222127F8CYWE01,10:09:00,10:09:00,n1396_0,54
222127F8CYWE01,10:12:00,10:12:00,n1397_0,55
222127F8CYWE01,10:13:00,10:13:00,n1398_0,56
222127F8CYWE01,10:17:00,10:17:00,n1400_0,57
222127F8CYWE01,10:19:00,10:19:00,n1401_0,58
222127F8CYWE01,10:22:00,10:22:00,n3221_1,59
222127F8CYWE08,17:17:00,17:17:00,n3221_1,1
222127F8CYWE08,17:18:00,17:18:00,n1351_0,2
222127F8CYWE08,17:21:00,17:21:00,n1352_0,3
222127F8CYWE08,17:22:00,17:22:00,n1353_0,4
222127F8CYWE08,17:23:00,17:23:00,n1354_0,5
222127F8CYWE08,17:26:00,17:26:00,n1355_0,6
222127F8CYWE08,17:29:00,17:29:00,n1356_0,7
222127F8CYWE08,17:31:00,17:31:00,n1357_0,8
222127F8CYWE08,17:33:00,17:33:00,n1358_0,9
222127F8CYWE08,17:35:00,17:35:00,n1359_0,10
222127F8CYWE08,17:36:00,17:36:00,n1360_0,11
222127F8CYWE08,17:37:00,17:37:00,n1361_0,12
222127F8CYWE08,17:39:00,17:39:00,n1362_0,13
222127F8CYWE08,17:41:00,17:41:00,n1363_0,14
222127F8CYWE08,17:43:00,17:43:00,n1364_0,15
222127F8CYWE08,17:48:00,17:48:00,n3263_4,16
222127F8CYWE08,17:51:00,17:51:00,n1365_0,17
222127F8CYWE08,17:53:00,17:53:00,n3273_0,18
222127F8CYWE08,17:55:00,17:55:00,n3272_0,19
222127F8CYWE08,17:57:00,17:57:00,n1366_0,20
222127F8CYWE08,17:59:00,17:59:00,n1367_0,21
222127F8CYWE08,18:01:00,18:01:00,n1368_0,22
222127F8CYWE08,18:03:00,18:03:00,n1369_0,23
222127F8CYWE08,18:04:00,18:04:00,n1370_0,24
222127F8CYWE08,18:06:00,18:06:00,n1371_0,25
222127F8CYWE08,18:07:00,18:07:00,n1372_0,26
222127F8CYWE08,18:08:00,18:08:00,n1373_0,27
222127F8CYWE08,18:09:00,18:09:00,n1374_0,28
222127F8CYWE08,18:10:00,18:10:00,n3281_0,29
222127F8CYWE08,18:12:00,18:12:00,n1375_0,30
222127F8CYWE08,18:14:00,18:14:00,n1376_0,31
222127F8CYWE08,18:16:00,18:16:00,n1377_0,32
222127F8CYWE08,18:18:00,18:18:00,n1378_0,33
222127F8CYWE08,18:20:00,18:20:00,n1379_0,34
222127F8CYWE08,18:22:00,18:22:00,n1380_0,35
222127F8CYWE08,18:24:00,18:24:00,n1381_0,36
222127F8CYWE08,18:30:00,18:30:00,n3221_4,37
222127F8CYWE08,18:31:00,18:31:00,n1351_0,38
222127F8CYWE08,18:32:00,18:32:00,n1382_0,39
222127F8CYWE08,18:34:00,18:34:00,n1383_0,40
222127F8CYWE08,18:35:00,18:35:00,n1384_0,41
222127F8CYWE08,18:37:00,18:37:00,n1385_0,42
222127F8CYWE08,18:39:00,18:39:00,n1386_0,43
222127F8CYWE08,18:40:00,18:40:00,n1387_0,44
222127F8CYWE08,18:41:00,18:41:00,n1388_0,45
222127F8CYWE08,18:42:00,18:42:00,n1389_0,46
222127F8CYWE08,18:43:00,18:43:00,n1390_0,47
222127F8CYWE08,18:45:00,18:45:00,n1391_0,48
222127F8CYWE08,18:46:00,18:46:00,n1392_0,49
222127F8CYWE08,18:47:00,18:47:00,n1393_0,50
222127F8CYWE08,18:49:00,18:49:00,n1394_0,51
222127F8CYWE08,18:50:00,18:50:00,n1395_0,52
222127F8CYWE08,18:52:00,18:52:00,n1399_0,53
222127F8CYWE08,18:56:00,18:56:00,n1396_0,54
222127F8CYWE08,18:59:00,18:59:00,n1397_0,55
222127F8CYWE08,19:00:00,19:00:00,n1398_0,56
222127F8CYWE08,19:04:00,19:04:00,n1400_0,57
222127F8CYWE08,19:06:00,19:06:00,n1401_0,58
222127F8CYWE08,19:09:00,19:09:00,n3221_1,59
222127OYLOWD08,18:40:00,18:40:00,n3221_4,1
222127OYLOWD08,18:43:00,18:43:00,n31705_1,2
222127OYLOWD08,18:45:00,18:45:00,n31700_1,3
222127OYLOWD08,18:46:00,18:46:00,n31695_1,4
222127OYLOWD08,18:48:00,18:48:00,n31690_1,5
222127OYLOWD08,18:50:00,18:50:00,n31685_1,6
222127OYLOWD08,18:53:00,18:53:00,n31680_1,7
222127OYLOWD08,18:55:00,18:55:00,n1364_0,8
222127OYLOWD08,18:57:00,18:57:00,n3263_5,9
222127OYLOWD08,19:01:00,19:01:00,n1434_1,10
222127OYLOWD08,19:03:00,19:03:00,n1433_1,11
222127OYLOWD08,19:06:00,19:06:00,n3311_1,12
222127OYLOWD08,19:08:00,19:08:00,n1432_1,13
222127OYLOWD08,19:09:00,19:09:00,n1431_1,14
222127OYLOWD08,19:10:00,19:10:00,n1430_1,15
222127OYLOWD08,19:12:00,19:12:00,n1429_1,16
222127OYLOWD08,19:13:00,19:13:00,n1428_1,17
222127OYLOWD08,19:14:00,19:14:00,n1427_1,18
222127OYLOWD08,19:15:00,19:15:00,n1426_1,19
222127OYLOWD08,19:16:00,19:16:00,n1425_1,20
222127OYLOWD08,19:17:00,19:17:00,n1424_1,21
222127OYLOWD08,19:19:00,19:19:00,n1423_1,22
